source,form_id,form_title,parameter_s_no,parameter,basic_fields
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),4,Availability of Tools & Equipment,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),5,Safety Measures & PPE,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),6,Stipend provided by Industry,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,1,Attendance & Punctuality,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,2,Discipline & Behavior,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,3,Technical Skills,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,4,Learning Ability,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,5,Safety Awareness,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,6,Teamwork,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,7,Communication Skills,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
ojt_form,supervisor_feedback_form_iti_in_plant_training_evaluation,SUPERVISOR FEEDBACK FORM-ITI In-Plant Training Evaluation,8,Initiative & Interest,Name of Trainee; ITI Trade; Institute Name; Training Period; Company Name; Department; Supervisor Name; Designation
