month,district,trade_name,year,semester,attendance_pct,subject_1,topic_1,question_1,topic_1_score,subject_2,topic_2,question_2,topic_2_score,subject_3,topic_3,question_3,topic_3_score,teaching_score,practical_score,learning_score,support_score,safety_score,weak_topics,comment_text,sentiment_label,sentiment_score
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,2.0,1.5,1.5,1.5,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.5,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.5,1.5,2.0,1.5,2.0,1.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,average,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,1.0,1.0,1.5,1.5,1.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,,average,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,1.0,1.0,1.5,1.5,1.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,,average,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,1.0,1.0,1.5,1.5,1.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,,average,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,1.0,1.0,1.5,1.5,1.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,,average,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.5,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.0,2.5,2.0,2.0,2.0,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,neutral,-0.002
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.5,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.0,2.5,2.0,2.0,2.0,2.0,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,5.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,5.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,5.0,5.0,5.0,5.0,4.5,5.0,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,5.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,5.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,5.0,5.0,5.0,5.0,4.5,5.0,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,5.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,5.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,5.0,5.0,5.0,5.0,4.5,5.0,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,5.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,5.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,5.0,5.0,5.0,5.0,4.5,5.0,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,positive,0.22
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.5,3.0,3.0,3.0,2.5,2.5,Series and Parallel Circuits,Training was useful but I need more practice on meter reading,neutral,-0.04
"2026-01","Vijayawada","Electrician","1","1","84","Trade Theory","Ohm's Law","How well did you understand the concept of Ohm's Law in Trade Theory?","4","Trade Practical","Meters and Measurement","How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?","3.5","Workshop Calculation","Series and Parallel Circuits","How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?","3.5","4","3.5","3.8","3.6","4.2","","Good sessions and practical support.","positive","0.42"
"2026-02","Vijayawada","Electrician","1","1","81","Trade Theory","Ohm's Law","How well did you understand the concept of Ohm's Law in Trade Theory?","3","Trade Practical","Meters and Measurement","How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?","2.5","Workshop Calculation","Series and Parallel Circuits","How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?","2.8","3.1","2.8","2.9","3","3.4","Meters and Measurement","Need more lab time for practice.","neutral","0"
"2026-03","Guntur","Fitter","2","3","79","Trade Theory","Fitting Tolerances","How clearly did you understand fitting tolerances in theory?","2.2","Trade Practical","Bench Work","How confident are you in executing bench work tasks?","2.4","Workshop Calculation","Limits and Fits","How well could you solve limits and fits calculations?","2.3","2.5","2.2","2.3","2.4","3","Bench Work; Fitting Tolerances; Limits and Fits","Concepts were hard and I need extra coaching.","negative","-0.36"
"2026-04","Guntur","Fitter","2","4","86","Trade Theory","Assembly Sequence","How clearly did you understand assembly sequence?","3.8","Trade Practical","Machine Alignment","How well were you able to perform machine alignment?","3.6","Workshop Calculation","Measurement Conversion","How well did you solve measurement conversion tasks?","3.7","3.8","3.6","3.7","3.5","4","","Training improved this month and tasks were clear.","positive","0.38"
"2026-05","Visakhapatnam","Welder","1","2","88","Trade Theory","Arc Welding Basics","How well did you understand arc welding basics?","4.2","Trade Practical","Electrode Handling","How confident are you with electrode handling in practice?","4","Workshop Calculation","Material Estimation","How well could you estimate welding material requirement?","3.9","4.1","4","4","3.9","4.3","","Very useful workshops and better supervision.","positive","0.47"
"2026-06","Visakhapatnam","Welder","1","2","75","Trade Theory","Gas Welding Safety","How clearly did you understand gas welding safety?","2.6","Trade Practical","Joint Preparation","How well were you able to prepare joints for welding?","2.4","Workshop Calculation","Cost Estimation","How well could you perform welding cost estimation?","2.5","2.8","2.5","2.6","2.7","3.1","Cost Estimation; Joint Preparation","Practice is okay but equipment availability is low.","neutral","0"
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.5,4.0,4.0,4.0,4.0,4.5,Series and Parallel Circuits,Training was useful but I need more practice on meter reading,positive,0.22
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,positive,0.22
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,positive,0.22
2026-01,Vijayawada,Electrician,2,2,66.9,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.7,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.9,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.1,4.5,4.3,2.0,4.2,4.1,Series and Parallel Circuits,Training was clear and practical sessions were helpful.,positive,0.7635
2026-01,Guntur,Electrician,1,1,85.1,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.6,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,4.7,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,3.9,3.0,2.4,3.8,2.2,3.8,,"Good teaching, but tools were sometimes limited.",neutral,0.008
2026-01,Visakhapatnam,Electrician,1,1,86.8,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,2.7,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,3.3,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,4.8,3.0,2.4,2.5,2.7,3.7,,"Good teaching, but tools were sometimes limited.",neutral,-0.028
2026-02,Vijayawada,Electrician,1,2,81.3,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,2.9,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,3.9,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,2.9,3.7,2.9,3.9,2.2,2.0,,"Good teaching, but tools were sometimes limited.",neutral,-0.012
2026-02,Guntur,Electrician,2,1,94.7,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,4.9,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,3.2,4.2,2.6,3.5,2.7,3.4,,I understood most topics and want more revision classes.,negative,-0.5425
2026-02,Visakhapatnam,Electrician,1,4,87.3,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.9,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,2.8,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.9,4.4,3.2,3.3,5.0,2.5,,Training was clear and practical sessions were helpful.,positive,0.7355
2026-03,Vijayawada,Electrician,2,2,69.7,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,2.1,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.9,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,3.9,4.5,4.9,2.4,3.6,4.8,Ohm's Law,I understood most topics and want more revision classes.,negative,-0.3905
2026-03,Guntur,Welder,2,2,86.6,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,2.0,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,2.9,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,3.8,2.8,3.6,2.6,4.3,2.4,Arc Welding Basics,"Good teaching, but tools were sometimes limited.",neutral,0.028
2026-03,Visakhapatnam,Fitter,1,1,93.4,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,2.7,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,4.8,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.2,3.1,3.0,4.8,2.0,3.4,Series and Parallel Circuits,Training was clear and practical sessions were helpful.,positive,0.6515
2026-04,Vijayawada,Fitter,1,1,66.2,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,3.7,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,3.3,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,3.6,3.1,3.3,4.3,4.1,3.8,,Sessions were useful but I need more hands-on practice.,neutral,0.144
2026-04,Guntur,Welder,2,3,78.1,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,3.1,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,4.2,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,2.8,4.3,4.1,4.1,3.1,4.4,,Sessions were useful but I need more hands-on practice.,positive,0.2
2026-04,Visakhapatnam,Electrician,2,3,76.1,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,2.4,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,4.0,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,3.4,3.4,3.9,2.4,2.7,4.1,Arc Welding Basics,Sessions were useful but I need more hands-on practice.,neutral,0.06
2026-05,Vijayawada,Welder,2,2,80.3,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,2.7,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,4.1,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,2.4,3.4,2.1,2.1,3.5,2.8,Material Estimation,"Good teaching, but tools were sometimes limited.",neutral,-0.044
2026-05,Guntur,Welder,1,1,72.7,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,3.1,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,4.3,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,3.0,4.9,4.2,3.1,4.5,5.0,,Sessions were useful but I need more hands-on practice.,positive,0.268
2026-05,Visakhapatnam,Electrician,2,1,73.6,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,2.6,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.5,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.5,3.9,3.7,2.4,2.8,2.1,Series and Parallel Circuits,Sessions were useful but I need more hands-on practice.,neutral,-0.004
2026-06,Vijayawada,Welder,2,3,86.7,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,4.1,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,4.9,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,4.8,3.7,3.4,4.4,4.8,3.2,,I understood most topics and want more revision classes.,negative,-0.4185
2026-06,Guntur,Electrician,1,4,67.9,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,4.5,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,2.1,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,5.0,4.6,4.9,2.9,3.1,2.6,Electrode Handling,"Good teaching, but tools were sometimes limited.",neutral,0.124
2026-06,Visakhapatnam,Electrician,2,1,65.4,Trade Theory,Arc Welding Basics,How well did you understand Arc Welding Basics in Trade Theory?,3.8,Trade Practical,Electrode Handling,How confident are you in performing Electrode Handling during practical sessions?,2.2,Workshop Calculation,Material Estimation,How well were you able to perform Material Estimation calculations?,4.8,2.3,5.0,4.9,4.0,4.1,Electrode Handling,Training was clear and practical sessions were helpful.,positive,0.8115
