source,year_level,trade,month,topic,question_no,question_text,question_image,option_a,option_b,option_c,option_d,correct_option,answer_text
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,6,Which tool is safest for electrical work?,,Iron hammer,Wooden stick,Insulated tools,Steel rod,C,Insulated tools
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,7,Overloading of sockets can lead to:,,Reduced voltage,Fire hazard,Low current,No effect,B,Fire hazard
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,1,You see a fire caused by burning petrol in a garage. Which extinguisher should you use?,,Water,Foam,Dry sand,Water mist,B,Foam
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,2,"While using a fire extinguisher, what is the FIRST step you should take?",,Aim at flames,Pull the safety pin,Press the handle,Shake the extinguisher,B,Pull the safety pin
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,3,A live electrical panel catches fire. Which extinguisher is safest?,,Water,Foam,CO₂,Wet cloth,C,CO₂
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,4,You should aim the extinguisher nozzle at:,,The top of flames,The base of the fire,The surrounding area,The smoke,B,The base of the fire
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,5,Which technique is used while operating a fire extinguisher?,,PASS,FAST,STOP,FIRE,A,"PASS(Pull, Aim, Squeeze, Sweep)"
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF FIRE EXTINGUISHERS,6,Which extinguisher is suitable for kitchen oil fires?,,Water,Foam,Dry chemical powder,Wet chemical,D,Wet chemical
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ELEMENTARY FIRST AID,1,A person collapses and is not breathing. What should you do first?,,Give water,Start CPR immediately,Check responsiveness and call for help,Put the person in recovery position,C,Explanation: Always check responsiveness and call for help before starting CPR.
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ELEMENTARY FIRST AID,2,"During heavy bleeding, the most effective immediate action is:",,Apply ice,Elevate the limb only,Apply direct pressure on the wound,Wash with hot water,C,Explanation: Direct pressure helps stop bleeding quickly.
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ELEMENTARY FIRST AID,3,A person gets a minor burn. What is the first step?,,Apply toothpaste,Apply oil,Cool under running water,Cover with cotton,C,Explanation: Cooling reduces damage and pain.
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ELEMENTARY FIRST AID,4,"In case of electric shock, what should you do first?",,Touch the person immediately,Turn off the power source,Pour water,Give CPR instantly,B,Explanation: Ensure safety by cutting off electricity before touching the victim.
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ELEMENTARY FIRST AID,5,A person has a suspected fracture. What is the correct action?,,Move the limb frequently,Massage the area,Immobilize the affected part,Apply heat,C,Explanation: Prevent further injury by immobilizing.
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,1,What is the primary purpose of artificial respiration?,,To restart the heart,To supply oxygen to the lungs,To increase blood pressure,To stop bleeding,B,To supply oxygen to the lungs
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,2,When should artificial respiration be given?,,When a person has a headache,When a person is unconscious but breathing normally,When a person is not breathing,When a person has a fever,C,When a person is not breathing
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,3,Which method is commonly used in modern CPR?,,Schafer’s method,Mouth-to-mouth respiration,Holger Nielsen method,Silvester method,B,Mouth-to-mouth respiration
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,4,"Before starting artificial respiration, what is the FIRST step?",,Give water,Check breathing and airway,Start chest compressions immediately,Lift the person,B,Check breathing and airway
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,5,"In mouth-to-mouth respiration, how should the head be positioned?",,Bent forward,Turned sideways,Tilted backward,Upright,C,Tilted backward
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON ARTIFICIAL RESIPIRATION,6,What is the correct ratio of compressions to breaths in CPR (adult)?,,10:2,15:1,30:2,20:5,C,30:2
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,1,Which color bin is generally used for disposing biodegradable waste?,,Red,Blue,Green,Black,C,Green
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,2,Used syringes and needles should be disposed in:,,Green bin,Black bin,Sharps container,Blue bin,C,Sharps container
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,3,Chemical waste should be:,,Poured into sink,Mixed with general waste,Stored in labeled containers,Burned openly,C,Stored in labeled containers
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,4,Incineration is mainly used for:,,Plastic recycling,Biomedical waste disposal,Composting,Metal reuse,B,Biomedical waste disposal
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,5,Which method is used to treat liquid waste before discharge?,,Filtration only,Sedimentation and treatment,Burning,Drying,B,Sedimentation and treatment
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,DIPOSAL PROCEDURE OF WASTE MATERIAL,6,Expired medicines should be:,,Thrown in open area,Flushed in toilet,Returned to authorized disposal facility,Mixed with food waste,C,Returned to authorized disposal facility
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,1,What is the first step before wearing a PPE kit?,,Wear gloves,Perform hand hygiene,Wear mask,Wear gown,B,Perform hand hygiene
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,2,Which PPE item should be worn first while donning?,,Gloves,Mask,Gown,Face shield,C,Gown
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,3,What is the correct sequence of donning PPE?,,Gloves → Mask → Gown → Goggles,Gown → Mask → Goggles/Face shield → Gloves,Mask → Gloves → Gown → Goggles,Goggles → Gloves → Mask → Gown,B,Gown → Mask → Goggles/Face shield → Gloves
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,4,Which PPE protects against droplet infection entering through eyes?,,Gloves,Mask,Goggles/Face shield,Shoe cover,C,Goggles/Face shield
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,5,When should PPE be removed?,,Before leaving patient area,After touching patient,After hand hygiene,After entering ward,A,Before leaving patient area
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,USE OF PPE KIT,6,What is the most contaminated PPE item?,,Mask,Gloves,Gown,Goggles,B,Gloves
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON CLEANLINESS AND MAINTAIN IT,1,What is the most effective way to prevent the spread of germs?,,Wearing expensive clothes,Washing hands regularly,Using perfume,Eating more food,B,Washing hands regularly
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON CLEANLINESS AND MAINTAIN IT,2,Which of the following should be done before eating food?,,Watch TV,Wash hands,Sleep,Play,B,Wash hands
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON CLEANLINESS AND MAINTAIN IT,3,What is the correct way to dispose of biodegradable waste?,,Throw on the road,Burn it openly,Put in a compost pit,Mix with plastic waste,C,Put in a compost pit
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE ON CLEANLINESS AND MAINTAIN IT,4,Which color dustbin is generally used for dry waste?,,Green,Blue,Red,Yellow,B,Blue
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,1,Which tool is used to check right angles (90°)?,,Try square,Vernier caliper,Micrometer,Divider,A,Try square
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,2,Which tool is used to measure internal and external dimensions accurately?,,Steel rule,Vernier caliper,Hammer,Spanner,B,Vernier caliper
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,3,Which hammer is used for sheet metal work?,,Ball peen hammer,Sledge hammer,Cross peen hammer,Claw hammer,C,Cross peen hammer
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,4,Which machine is used to drill holes in metal?,,Lathe machine,Milling machine,Drilling machine,Grinding machine,C,Drilling machine
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,5,Which tool is used for cutting external threads?,,Tap,Die,Reamer,File,B,Die
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,6,Which tool is used for cutting internal threads?,,Die,Tap,Spanner,Chisel,B,Tap
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,IDENTIFY TRADE TOOLS AND MACHINERIES,7,Which tool is used to tighten or loosen nuts and bolts?,,Screwdriver,Spanner,Pliers,File,B,Spanner
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE SAFE METHODS OF LIFITING AND HANDILING,1,What is the first thing you should do before lifting an object?,,Lift quickly,Check the weight and plan the lift,Bend your back,Hold your breath,B,Check the weight and plan the lift
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE SAFE METHODS OF LIFITING AND HANDILING,2,Which body part should be used mainly while lifting?,,Back,Arms,Legs,Neck,C,Legs
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE SAFE METHODS OF LIFITING AND HANDILING,3,What is the correct posture while lifting an object?,,Bend at the waist,Keep back straight and bend knees,Twist while lifting,Keep legs straight,B,Keep back straight and bend knees
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE SAFE METHODS OF LIFITING AND HANDILING,4,Why should you keep the load close to your body?,,To look professional,To reduce strain on the back,To lift faster,No reason,B,To reduce strain on the back
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PRACTICE SAFE METHODS OF LIFITING AND HANDILING,5,What should you avoid while carrying a load?,,Walking slowly,Twisting your body,Looking forward,Using both hands,B,Twisting your body
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,1,Which tool is most suitable for tightening a hexagonal bolt?,,Pipe wrench,Screwdriver,Spanner,Hammer,C,Spanner
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,2,"Before using a cutting tool, what should be checked first?",,Color of tool,Sharpness and condition,Brand name,Weight,B,Sharpness and condition
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,3,Which tool is used for measuring internal diameter?,,Vernier caliper,Steel rule,Hammer,File,A,Vernier caliper
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,4,What is the main precaution while using a hammer?,,Use with oily hands,Ensure handle is tight,Hit randomly,Use broken handle,B,Ensure handle is tight
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,5,Which tool should be used to cut metal pipes?,,Hacksaw,Chisel,Spanner,File,A,Hacksaw
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SELECTION OF PROPER TOOLS FOR OPERATION AND PRECAUTION IN OPERATION,6,What is the correct precaution when using electrical tools?,,Use with wet hands,Ignore insulation,Check insulation before use,Touch live wires,C,Check insulation before use
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,OPERATION OF ALLIDE TRADE TOOLS,1,Which tool is mainly used for holding round jobs firmly during filing?,,Bench vice,Pipe vice,Hand vice,Machine vice,B,Pipe vice
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,OPERATION OF ALLIDE TRADE TOOLS,2,Which hammer is best suited for sheet metal work?,,Ball peen hammer,Cross peen hammer,Mallet,Sledge hammer,C,Mallet
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,OPERATION OF ALLIDE TRADE TOOLS,3,A hacksaw blade with more teeth per inch is used for:,,Cutting thick materials,Cutting soft materials,Cutting thin materials,Rough cutting,C,Cutting thin materials
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,OPERATION OF ALLIDE TRADE TOOLS,4,Which tool is used to check right angles accurately?,,Try square,Divider,Caliper,Feeler gauge,A,Try square
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,OPERATION OF ALLIDE TRADE TOOLS,5,The purpose of a cold chisel is:,,Cutting hot metal,Cutting cold metal,Drilling holes,Measuring length,B,Cutting cold metal
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,1,The main purpose of filing in workshop practice is to:,,Join metals,Remove excess material and smooth surfaces,Heat the metal,Drill holes,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,2,Which type of file is used for finishing work?,,Rough file,Bastard file,Smooth file,Rasp file,C,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,3,The teeth of a file are cut in:,,Circular pattern,Spiral pattern,Straight or diagonal rows,Random pattern,C,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,4,Which file has teeth in only one direction?,,Double-cut file,Single-cut file,Rasp cut file,Curved cut file,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,5,A file is generally made of:,,Mild steel,High carbon steel,Aluminum,Brass,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,WORK SHOP PRACTICE ON FILING AND HACKSAWING,6,The correct direction of filing is:,,Backward stroke only,Forward stroke only,Both directions equally,Circular motion,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,1,What is the main purpose of hand coil winding?,,To generate heat,To produce magnetic field,To increase voltage,To reduce resistance,B,To produce magnetic field
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,2,Which material is commonly used for winding coils?,,Iron wire,Copper wire,Aluminum rod,Plastic wire,B,Copper wire
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,3,What type of copper wire is used in coil winding?,,Bare copper wire,Insulated (enameled) copper wire,Steel wire,Fiber wire,B,Insulated (enameled) copper wire
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,4,What is the function of insulation on winding wire?,,Increase current,Prevent short circuit,Reduce voltage,Increase resistance,B,Prevent short circuit
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,5,Which tool is mainly used for manual coil winding?,,Hammer,Winding machine or hand drill,Screwdriver,Pliers,B,Winding machine or hand drill
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREPARE HAND COIL WINDING ASSEMBLY,6,What is the purpose of a bobbin in coil winding?,,To increase resistance,To hold the coil in shape,To reduce current,To cool the wire,B,To hold the coil in shape
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,"PRACTICE ON PREPARING T-JOINT,STRAIGHT JOINT,DOVETAIL JOINT ON WOODEN BLACK",1,Which tool is mainly used to check the squareness of a straight joint?,,Try square,Compass,Divider,Bevel gauge,A,Try square
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,"PRACTICE ON PREPARING T-JOINT,STRAIGHT JOINT,DOVETAIL JOINT ON WOODEN BLACK",2,A T-joint is commonly used in:,,Frame construction,Edge joining,Length extension,Circular work,A,Frame construction
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,"PRACTICE ON PREPARING T-JOINT,STRAIGHT JOINT,DOVETAIL JOINT ON WOODEN BLACK",3,The dovetail joint is mainly used for:,,Decorative strong joints,Temporary joints,Metal work,Plastic joining,A,Decorative strong joints
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,"PRACTICE ON PREPARING T-JOINT,STRAIGHT JOINT,DOVETAIL JOINT ON WOODEN BLACK",4,Which saw is preferred for fine joint cutting?,,Tenon saw,Hack saw,Bow saw,Chain saw,A,Tenon saw
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,"PRACTICE ON PREPARING T-JOINT,STRAIGHT JOINT,DOVETAIL JOINT ON WOODEN BLACK",5,"If a dovetail joint is loose, the likely reason is:",,Over-cutting,Proper marking,Correct sawing,Accurate chiseling,A,Over-cutting
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,1,Which saw is commonly used for straight cutting of wooden boards?,,Hack saw,Tenon saw,Coping saw,Bow saw,B,Tenon saw
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,2,The correct angle for sawing is approximately:,,10°,45°,90°,120°,B,45°
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,3,Planing is done to:,,Cut wood into pieces,Smooth and level the surface,Drill holes,Paint wood,B,Smooth and level the surface
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,4,Which tool is used for planing?,,Chisel,Jack plane,Hammer,Spanner,B,Jack plane
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,5,Which tool is used for making holes in wood?,,Saw,Drill machine,Plane,File,B,Drill machine
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,6,"Before drilling, marking is done using:",,Hammer,Try square,Pencil or marking gauge,File,C,Pencil or marking gauge
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,,7,Wooden switch board parts are usually joined using:,,Nails only,Glue and screws,Tape,Wire,B,Glue and screws
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,1,Which tool is commonly used for marking straight lines on metal surfaces?,,Try square,Divider,Scriber,Punch,C,Scriber
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,2,A try square is mainly used to:,,Cut metal,Check right angles (90°),Mark circles,Smooth surfaces,B,Check right angles (90°)
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,3,"Before marking on a metal surface, what is usually applied for better visibility?",,Oil,Chalk or marking blue,Grease,Water,B,Chalk or marking blue
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,4,Which tool is used to make a small indentation before drilling?,,Center punch,File,Hammer,Chisel,A,Center punch
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,5,"For cutting a straight line on a thin metal sheet, which tool is best?",,Hacksaw,Snips,Chisel,Drill,B,Snips
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE IN MARKING AND CUTTING OF STRAIGHT AND CURVED PIECES IN METAL SHEETS,6,What is the correct angle of a cold chisel used for cutting metal?,,30°,45°,60°,90°,C,60°
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",1,"When drilling mild steel, what is the correct cutting fluid?",,Kerosene,Water,Soluble oil,Dry,C,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",2,"While chipping, the chisel angle for general work is:",,20°,30°,60°,90°,C,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",3,Mushroom head on a chisel is dangerous because:,,It reduces cutting speed,It causes slipping,It may chip off and injure,It increases hardness,C,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",4,"Before tapping, the hole size should be:",,Equal to tap size,Smaller than tap size,Larger than tap size,Random,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",5,"Before using a die, the rod end should be:",,Flat,Chamfered,Rough,Heated,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,"PRACTICE ON DRILLING,CHIPPING,INTERNAL & EXTERNAL THREADING",6,"If threads are not forming properly, the reason may be:",,Proper lubrication,Worn die,Correct diameter,Low pressure,B,
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,1,Which method is commonly used to make a square hole in a crank handle?,,Drilling,Milling,Filing after drilling,Turning,C,Filing after drilling
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,2,Why is a round hole drilled before making a square hole?,,To save time,To reduce filing work,To improve finish,To increase strength,B,To reduce filing work
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,3,Which tool is mainly used to convert a round hole into a square hole?,,Flat file,Half-round file,Square file,Triangular file,C,Square file
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,4,What is the first operation before drilling the hole?,,Filing,Center punching,Grinding,Tapping,B,Center punching
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,5,Which marking tool is used to draw the square on the job?,,Divider,Surface gauge,Try square,Scriber,D,Scriber
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PRACTICE OF MAKING OF SQUARE HOLES IN CRANKHANDLE,6,What is the purpose of using a try square in this job?,,To cut metal,To check 90° angles,To drill hole,To polish,B,To check 90° angles
practical,I,ELECTRICIAN (NSQF LEVEL-4),OCTOBER -2025,PREPARE AN OPEN BOX FRO METAL SHEET,1,What is the first step in preparing an open box from a metal sheet?,,Welding,Cutting randomly,Marking layout,Polishing,C,Marking layout
