source,year_level,trade,month,topic,question_no,question_text,question_image,option_a,option_b,option_c,option_d,correct_option,answer_text
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",5,Surface plate provides:,,Rough surface,Uneven surface,Flat reference surface,Curved surface,C,Flat reference surface
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",6,Which plier is used for cutting wires?,,Long nose plier,Combination plier,Cutting plier,Flat plier,C,Cutting plier
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,1,Cutting tools are used for:,,Measuring,Removing material,Holding objects,Polishing,B,Removing material
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,2,The cutting edge of a tool should be:,,Blunt,Soft,Sharp,Rounded,C,Sharp
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,3,The angle of a cutting tool depends on:,,Color,Material being cut,Length,Weight,B,Material being cut
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,4,Rivets are usually made of:,,Wood,Plastic,Metal,Rubber,C,Metal
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,5,Riveting is done by:,,Heating only,Hammering or pressing,Drilling,Welding,B,Hammering or pressing
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CUTTING TOOLS RIVETS AND RIVITED JOINTS,6,Which of the following is an advantage of riveted joints?,,Easy to dismantle,Strong and permanent,Flexible,Temporary,B,Strong and permanent
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,1,Which tool is used for cutting wood?,,File,Saw,Spanner,Pliers,B,Saw
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,2,Which tool is used for smoothing wooden surfaces?,,Chisel,Plane,Hammer,Drill,B,Plane
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,4,A chisel in carpentry is used for:,,Cutting and shaping wood,Measuring,Painting,Drilling,A,Cutting and shaping wood
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,5,Sharp tools should be:,,Kept blunt,Regularly sharpened,Ignored,Painted,B,Regularly sharpened
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,7,What is the purpose of proper tool maintenance?,,Increase cost,Reduce tool life,Improve efficiency and safety,Waste time,C,Improve efficiency and safety
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,CARPENTER TOOLS AND MAINTENANCE,8,Regular inspection of tools helps to,,Damage them,Identify defects early,Increase rust,Waste time,B,Identify defects early
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,1,The unit of electric current is:,,Volt,Watt,Ampere,Ohm,C,Ampere
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,2,The unit of voltage is:,,Ampere,Volt,Watt,Ohm,B,Volt
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,3,The unit of resistance is:,,Volt,Ampere,Watt,Ohm,D,Ohm
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,4,Ohm’s Law states that:,,V = I + R,V = I × R,V = I / R,V = R / I,B,V = I × R
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,5,What is the unit of power?,,Joule,Watt,Volt,Ampere,B,Watt
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,FUNDAMENTALS OF ELECTRICITY,6,Electrical power is calculated by:,,V + I,V × I,V / I,I / V,B,V × I
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,UNITS OF ELECTRIC CURRENT,1,Electric current is measured using:,,Voltmeter,Ammeter,Wattmeter,Ohmmeter,B,Ammeter
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,UNITS OF ELECTRIC CURRENT,2,Which of the following is a smaller unit of current?,,Megaampere,Kiloampere,Milliampere,Ampere,C,Milliampere
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,UNITS OF ELECTRIC CURRENT,3,1 ampere is equal to:,,100 mA,1000 mA,10 mA,1 mA,B,1000 Ma
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,UNITS OF ELECTRIC CURRENT,4,The instrument used to measure very small current is:,,Ammeter,Voltmeter,Galvanometer,Energy meter,C,Galvanometer
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,UNITS OF ELECTRIC CURRENT,5,Current is denoted by the symbol:,,V,I,R,P,B,I
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",1,An insulator is a material that:,,Allows free flow of current,Partially conducts electricity,Does not allow current to pass,Stores charge,C,Does not allow current to pass
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",2,Which of the following is an insulator?,,Aluminium,Iron,Plastic,Silver,C,Plastic
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",3,The conductivity of a semiconductor:,,Is very high,Is zero,Lies between conductor and insulator,Is always constant,C,Lies between conductor and insulator
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",4,Which of the following is a semiconductor?,,Copper,Silicon,Wood,Rubber,B,Silicon
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",5,The resistance of a conductor is generally:,,Very high,Very low,Infinite,Zero always,B,Very low
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",1,Which part of a rotating machine is stationary?,,Rotor,Armature,Stator,Field winding,C,Stator
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",2,The rotating part of an electrical machine is called:,,Stator,Rotor,Core,Frame,B,Rotor
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",3,"In an AC machine, the stator usually carries:",,Field winding,Armature winding,Both windings,No winding,B,Armature winding
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",4,"In a motor, electrical energy is converted into:",,Heat energy,Mechanical energy,Light energy,Chemical energy,B,Mechanical energy
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",5,Which of the following loss is independent of load?,,Copper loss,Iron loss,Load loss,Brush loss,B,Iron loss
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",6,The direction of induced EMF is given by:,,Fleming’s Left-Hand Rule,Fleming’s Right-Hand Rule,Lenz’s Law,Ampere’s Law,B,Fleming’s Right-Hand Rule
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",1,The emf equation of a D.C. generator is,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",2,The unit of generated emf is:,,Ampere,Volt,Watt,Ohm,B,Volt
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",3,"In a D.C. generator, the induced emf is initially:",,Pure DC,Pure AC,Pulsating DC,Zero,B,Pure AC
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",4,"If the magnetic flux increases, the generated emf will:",,Decrease,Increase,Remain same,Become zero,B,Increase
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",5,The armature winding in a D.C. generator is placed on:,,Stator,Rotor,Frame,Pole,B,Rotor
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",6,"In a D.C. generator, mechanical energy is converted into:",,Heat energy,Electrical energy,Magnetic energy,Chemical energy,B,Electrical energy
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",1,The main function of slip rings is to:,,Convert AC to DC,Provide continuous electrical connection,Increase speed,Reduce losses,B,Provide continuous electrical connection
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",2,Slip rings are used in:,,DC machines,AC machines,Transformers,Batteries,B,AC machines
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",3,"In a DC machine, the commutator is used to:",,Convert AC to DC,Convert DC to AC,Increase voltage,Reduce current,A,Convert AC to DC
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",4,The function of a cooling fan in electrical machines is to:,,Increase voltage,Reduce losses,Remove heat,Increase torque,C,Remove heat
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",5,The yoke is usually made of:,,Copper,Aluminum,Cast iron or steel,Plastic,C,Cast iron or steel
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",6,Field coil polarity determines:,,Speed of machine,Direction of magnetic field,Efficiency,Temperature,B,Direction of magnetic field
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"CONDUCTORS,INSULATORS AND SEMICONDUCTORS",7,"In a DC machine, the armature is usually located on the:",,Stator,Rotor,Frame,Yoke,B,Rotor
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,1,Which generator is suitable for variable loads?,,Series generator,Shunt generator,Compound generator,None,C,Compound generator
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,2,Which of the following is a separately excited DC generator?,,Field winding supplied from external source,Field winding connected to armature,No field winding,Permanent magnet only,A,Field winding supplied from external source
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,3,"In a DC shunt generator, the field winding is connected:",,In series with armature,In parallel with armature,Separately,In series with load,B,In parallel with armature
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,4,"In a DC series generator, the field winding is connected:",,In parallel,In series with armature,Separately,With battery,B,In series with armature
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,5,"In a long shunt compound generator, the shunt field is connected:",,Across armature only,Across armature and series field,Across series field only,Across load only,B,Across armature and series field
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,6,"In a short shunt compound generator, the shunt field is connected:",,Across armature only,Across load,Across series field,Across supply,A,Across armature only
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,7,Cumulative compounding means:,,Series field opposes shunt field,Series field aids shunt field,No field present,Field is reversed,B,Series field aids shunt field
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TYPES OF D.C.GENERATOR,8,"In self-excited generators, residual magnetism is required for:",,Cooling,Starting voltage build-up,Increasing speed,Reducing losses,B,Starting voltage build-up
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,1,A DC motor works on the principle of:,,Electromagnetic induction,Electrostatic force,Force on a current-carrying conductor in a magnetic field,Chemical reaction,C,Force on a current-carrying conductor in a magnetic field
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,2,The direction of force in a DC motor is given by:,,Fleming’s Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Faraday’s Law,B,Fleming’s Left-Hand Rule
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,3,The torque produced in a DC motor is due to:,,Heat energy,Magnetic field interaction,Chemical reaction,Resistance,B,Magnetic field interaction
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,4,"In a DC motor, electrical energy is converted into:",,Mechanical energy,Heat energy,Magnetic energy,Light energy,A,Mechanical energy
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,5,Back EMF in a DC motor opposes:,,Supply voltage,Load,Current only,Torque,A,Supply voltage
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,6,The unit of torque is:,,Watt,Newton-meter,Joule,Volt,B,Newton-meter
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PRINICIPLE OF D.C. MOTOR,7,The torque equation of a DC motor is proportional to:,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",1,The voltage equation of a DC motor is:,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",2,Back EMF in a DC motor is proportional to:,,Current only,Flux only,Speed only,Flux and speed,D,Flux and speed
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",3,The back EMF equation is:,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",4,"If the supply voltage increases, the speed of a DC motor will:",,Decrease,Increase,Remain constant,Become zero,B,Increase
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",5,"If flux increases, the speed of a DC motor will:",,Increase,Decrease,Remain constant,Become zero,B,Decrease
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",6,The speed equation of a DC motor is:,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Relation between Applied Voltage, Back EMF, Armature Voltage Drop, Speed & Flux of DC Motor",7,Armature voltage drop is given by:,,,,,,A,
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",1,Why is a starter required for a DC motor?,,To increase speed,To limit starting current,To reduce voltage,To increase torque,B,To limit starting current
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",2,"At starting, back EMF of a DC motor is:",,Maximum,Zero,High,Negative,B,Zero
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",3,"If a DC motor is started without a starter, it will:",,Run normally,Draw excessive current,Stop immediately,Increase efficiency,B,Draw excessive current
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",4,The starting current is high because:,,Resistance is high,Back EMF is zero,Voltage is zero,Flux is zero,B,Back EMF is zero
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",5,The function of a starter is to:,,Increase speed,Limit armature current,Reduce torque,Increase voltage,B,Limit armature current
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"DC Motor Starters & Relation between Torque, Flux and Armature Current",6,Which of the following is a DC motor starter?,,2-point starter,3-point starter,4-point starter,All of the above,D,All of the above
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,1,The direction of rotation of a DC motor is given by:,,Fleming’s Right-Hand Rule,Fleming’s Left-Hand Rule,Lenz’s Law,Faraday’s Law,B,Fleming’s Left-Hand Rule
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,2,The direction of rotation of a DC motor can be reversed by:,,Changing supply voltage,Reversing armature current,Reversing field current,Either B or C,D,Either B or C
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,3,"If both armature and field connections are reversed simultaneously, the motor will:",,Reverse direction,Stop,Continue in same direction,Burn,C,Continue in same direction
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,4,Reversing the supply terminals will:,,Always reverse rotation,Not change rotation,Reverse both field and armature currents,Stop motor,C,Reverse both field and armature currents
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,5,"To reverse the direction of a DC motor, we should reverse:",,Both armature and field,Only one (either armature or field),Supply voltage only,Speed,B,Only one (either armature or field)
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,6,"In a DC shunt motor, direction is reversed by:",,Reversing field connections only,Reversing armature connections only,Either A or B,Both A and B together,C,Either A or B
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Changing the Direction of Rotation of DC Motor,7,"In a DC series motor, direction is reversed by:",,Reversing supply,Reversing field only,Reversing armature only,Interchanging connections of either armature or field,D,Interchanging connections of either armature or field
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Methods of Speed Control of DC Motors,1,Which method controls the speed of a DC motor by varying the field current?,,Armature resistance control,Field flux control,Voltage control,Ward-Leonard method,B,Field flux control
